COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Tina Clinton,Rep Matthew J. Kolodoski,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,68,PCT 068,2042,1285,1,609,557,0,119,Dem Tina Clinton,Dem
COLL,69,PCT 069,3878,2831,0,1234,1406,0,191,Rep Matthew J. Kolodoski,Rep
COLL,7,PCT 007,1580,1035,0,419,516,0,100,Rep Matthew J. Kolodoski,Rep
COLL,70,PCT 070,1912,1416,0,584,745,0,87,Rep Matthew J. Kolodoski,Rep
COLL,71,PCT 071,1812,1314,0,603,632,0,79,Rep Matthew J. Kolodoski,Rep
COLL,72,PCT 072,1732,1249,2,529,647,0,73,Rep Matthew J. Kolodoski,Rep
COLL,73,PCT 073,1936,1122,6,608,415,0,99,Dem Tina Clinton,Dem
COLL,74,PCT 074,1988,1373,9,541,721,0,111,Rep Matthew J. Kolodoski,Rep
COLL,75,PCT 075,2381,1701,0,660,909,0,132,Rep Matthew J. Kolodoski,Rep
COLL,76,PCT 076,3331,2363,4,967,1230,0,166,Rep Matthew J. Kolodoski,Rep
COLL,77,PCT 077,3721,2461,0,1247,1032,0,182,Dem Tina Clinton,Dem
COLL,78,PCT 078,4899,3053,2,1633,1208,0,212,Dem Tina Clinton,Dem
COLL,79,PCT 079,2773,1660,17,682,819,0,159,Rep Matthew J. Kolodoski,Rep
COLL,8,PCT 008,6230,4129,0,1341,2430,0,358,Rep Matthew J. Kolodoski,Rep
COLL,80,PCT 080,3657,2509,0,1064,1243,0,202,Rep Matthew J. Kolodoski,Rep
COLL,81,PCT 081,2973,2031,1,986,890,0,155,Dem Tina Clinton,Dem
COLL,82,PCT 082,3005,1870,0,888,844,0,138,Dem Tina Clinton,Dem
COLL,83,PCT 083,4265,2914,1,930,1795,0,189,Rep Matthew J. Kolodoski,Rep
COLL,84,PCT 084,2541,1705,11,760,844,0,101,Rep Matthew J. Kolodoski,Rep
COLL,85,PCT 085,3398,2285,1,1201,912,0,172,Dem Tina Clinton,Dem
COLL,86,PCT 086,3050,2194,0,962,1086,0,146,Rep Matthew J. Kolodoski,Rep
COLL,87,PCT 087,3486,2531,0,1217,1078,0,236,Dem Tina Clinton,Dem
COLL,88,PCT 088,1661,726,7,449,227,0,50,Dem Tina Clinton,Dem
COLL,89,PCT 089,3267,2264,0,1032,1058,0,174,Rep Matthew J. Kolodoski,Rep
COLL,9,PCT 009,4905,3253,2,1248,1764,0,241,Rep Matthew J. Kolodoski,Rep
COLL,90,PCT 090,3268,2400,0,822,1412,0,166,Rep Matthew J. Kolodoski,Rep
COLL,91,PCT 091,2325,1659,1,788,765,0,106,Dem Tina Clinton,Dem
COLL,92,PCT 092,4619,2877,0,1299,1329,0,249,Rep Matthew J. Kolodoski,Rep
COLL,93,PCT 093,297,222,1,27,181,0,14,Rep Matthew J. Kolodoski,Rep
COLL,94,PCT 094,4318,3088,0,1496,1355,0,237,Dem Tina Clinton,Dem
COLL,95,PCT 095,3171,2237,0,972,1075,0,190,Rep Matthew J. Kolodoski,Rep
COLL,96,PCT 096,1509,782,0,316,402,0,64,Rep Matthew J. Kolodoski,Rep
COLL,97,PCT 097,1344,1070,0,272,722,0,76,Rep Matthew J. Kolodoski,Rep
COLL,98,PCT 098,1618,1019,0,396,542,0,81,Rep Matthew J. Kolodoski,Rep
COLL,99,PCT 099,403,257,0,129,99,0,29,Dem Tina Clinton,Dem
